city,surfaceArea,roomsQuantity,bedroomsQuantity,floorQuantity,floor,isInCondominium,price,district_libelle,surfaceArea_bins
Paris 16e,113.24,4.0,3.0,7.0,7.0,True,1690000.0,Porte de Saint-Cloud - Auteuil-Sud,large
Paris 15e,90.0,4.0,2.0,7.0,1.0,False,751440.0,Vaugirard - Parc des Expositions,medium
Paris 15e,39.85,3.0,1.0,2.0,1.0,True,430000.0,Saint-Lambert - Convention,small
Paris 19e,55.0,3.0,2.0,2.0,1.0,True,550000.0,Danube,small
Paris 12e,76.0,4.0,1.0,4.0,1.0,True,680000.0,Bel-Air - Sud,medium
Paris 15e,110.26,5.0,4.0,10.0,2.0,True,1170000.0,Pasteur - Montparnasse,large
Paris 20e,30.0,1.0,0.0,5.0,0.0,True,310000.0,Télégraphe - Pelleport - Saint-Fargeau,small
Paris 9e,24.01,1.0,0.0,5.0,2.0,True,338000.0,Trudaine - Rochechouart,small
Paris 11e,108.0,3.0,2.0,4.0,1.0,True,1320000.0,Bastille - Popincourt,large
Paris 11e,70.0,3.0,1.0,5.0,3.0,True,705000.0,République - Saint-Ambroise,medium
Paris 18e,58.5,3.0,2.0,5.0,4.0,True,496000.0,Simplon - Poissonniers,small
Paris 20e,37.0,2.0,1.0,6.0,0.0,True,265000.0,Télégraphe - Pelleport - Saint-Fargeau,small
Paris 20e,34.59,2.0,1.0,6.0,1.0,True,299990.0,Père Lachaise - Réunion,small
Paris 13e,70.0,3.0,2.0,6.0,1.0,True,635000.0,Bièvre Sud - Tolbiac,medium
Paris 15e,56.0,3.0,2.0,6.0,6.0,True,696000.0,Pasteur - Montparnasse,small
Paris 1er,90.0,4.0,2.0,6.0,3.0,True,1675000.0,Châtelet - Les Halles,medium
Paris 11e,35.0,2.0,2.0,3.0,3.0,True,400000.0,Belleville - Saint-Maur,small
Paris 11e,35.0,2.0,1.0,4.0,3.0,True,400000.0,République - Saint-Ambroise,small
Paris 16e,111.04,5.0,3.0,6.0,2.0,True,1350000.0,Porte de Saint-Cloud - Auteuil-Sud,large
Paris 14e,47.0,3.0,2.0,6.0,2.0,True,510000.0,Pernety,small
Paris 10e,118.0,6.0,4.0,6.0,3.0,False,1350000.0,Porte Saint-Martin - Paradis,large
Paris 16e,45.0,2.0,1.0,10.0,3.0,True,745000.0,Muette-Nord - Trocadéro,small
Paris 13e,20.0,1.0,1.0,6.0,0.0,True,175000.0,Olympiades - Choisy,small
Paris 11e,127.0,5.0,3.0,7.0,3.0,True,1449000.0,Belleville - Saint-Maur,large
Paris 20e,16.0,1.0,0.0,6.0,0.0,True,169000.0,Télégraphe - Pelleport - Saint-Fargeau,small
Paris 16e,13.0,1.0,1.0,6.0,0.0,True,169000.0,Muette-Nord - Trocadéro,small
Paris 16e,115.0,4.0,3.0,6.0,6.0,True,1740000.0,Dauphine,large
