city,surfaceArea,roomsQuantity,bedroomsQuantity,floorQuantity,floor,isInCondominium,price,district_libelle,surfaceArea_bins
Paris 11e,42.0,2.0,1.0,10.0,5.0,True,550000.0,Bastille - Popincourt,small
Paris 13e,86.0,3.0,2.0,11.0,4.0,True,995000.0,Croulebarbe,medium
Paris 19e,83.0,4.0,3.0,11.0,6.0,True,800000.0,La Villette - Porte de Pantin,medium
Paris 14e,74.0,4.0,2.0,5.0,5.0,True,799000.0,Mouton - Duvernet,medium
Paris 20e,94.0,4.0,3.0,6.0,2.0,True,875000.0,Télégraphe - Pelleport - Saint-Fargeau,medium
Paris 9e,167.0,7.0,5.0,4.0,1.0,True,1785000.0,Grands Boulevards,large
Paris 11e,60.0,3.0,3.0,8.0,1.0,False,221300.0,Bastille - Popincourt,small
Paris 18e,46.0,2.0,1.0,6.0,5.0,True,450000.0,Barbès - Château Rouge,small
Paris 13e,74.0,3.0,2.0,18.0,18.0,True,630000.0,Nationale - Deux Moulins,medium
Paris 15e,14.0,1.0,0.0,6.0,1.0,True,215000.0,Alleray - Procession,small
Paris 19e,70.0,3.0,2.0,8.0,1.0,True,699000.0,Buttes Chaumont - Laumière - Manin,medium
Paris 17e,218.0,6.0,3.0,7.0,3.0,True,2890000.0,Pereire,large
Paris 13e,81.0,4.0,3.0,6.0,1.0,True,602000.0,Bibliothèque - Dunois - Jeanne d'Arc,medium
Paris 9e,22.0,1.0,0.0,7.0,7.0,True,250000.0,Grands Boulevards,small
Paris 16e,66.0,3.0,2.0,6.0,3.0,True,735000.0,Porte de Saint-Cloud - Auteuil-Sud,medium
Paris 14e,67.0,3.0,2.0,5.0,3.0,True,730000.0,Didot - Porte de Vanves,medium
Paris 16e,49.0,2.0,1.0,6.0,1.0,True,444000.0,Porte de Saint-Cloud - Auteuil-Sud,small
Paris 18e,66.0,3.0,2.0,7.0,5.0,True,540000.0,Simplon - Poissonniers,medium
Paris 16e,62.54,3.0,2.0,6.0,5.0,True,695000.0,Porte de Saint-Cloud - Auteuil-Sud,medium
Paris 18e,48.07,2.0,1.0,10.0,6.0,True,519500.0,Jules Joffrin,small
